,0,1,2,3,4
LLLRRR,R,L,R,R,R
LLRRRR,R,L,R,R,R
LRLRRR,R,L,R,R,R
LRRLRR,R,L,R,R,R
LRRRLR,R,L,R,R,R
LRRRRL,R,L,R,R,R
RLRRRR,R,L,R,R,R
RRLRRR,R,L,R,R,R
RRRLRR,R,L,R,R,R
RRRRLR,R,L,R,R,R
RRRRRL,R,L,R,R,L
LRRRRR,R,L,R,R,R
RRRRRR,R,R,R,R,R
LLLLLL,L,L,L,R,L
LLLLLR,L,L,L,R,L
LLLLRL,L,L,L,R,L
LLLLRR,L,L,R,R,R
LLLRLL,L,L,L,R,L
LLLRLR,L,L,R,R,R
LLLRRL,L,L,R,R,R
LLRLLL,L,L,L,R,L
LLRLLR,L,L,R,R,R
LLRLRL,L,L,R,R,R
LLRLRR,L,L,R,R,R
LLRRLL,L,L,R,R,R
LLRRLR,L,L,R,R,R
LLRRRL,L,L,R,R,R
LRLLLL,L,L,L,R,L
LRLLLR,L,L,R,R,R
LRLLRL,L,L,R,R,R
LRLLRR,L,L,R,R,R
LRLRLL,L,L,R,R,R
LRLRLR,L,L,R,R,R
LRLRRL,L,L,R,R,R
LRRLLL,L,L,R,R,R
LRRLLR,L,L,R,R,R
LRRLRL,L,L,R,R,R
LRRRLL,L,L,R,R,R
RLLLLL,L,L,L,R,L
RLLLLR,L,L,R,R,R
RLLLRL,L,L,R,R,R
RLLLRR,L,L,R,R,R
RLLRLL,L,L,R,R,R
RLLRLR,L,L,R,R,R
RLLRRL,L,L,R,R,R
RLLRRR,L,L,R,R,R
RLRLLL,L,L,R,R,R
RLRLLR,L,L,R,R,R
RLRLRL,L,L,R,R,R
RLRLRR,L,L,R,R,R
RLRRLL,L,L,R,R,R
RLRRLR,L,L,R,R,R
RLRRRL,L,L,R,R,R
RRLLLL,L,L,R,R,L
RRLLLR,L,L,R,R,R
RRLLRL,L,L,R,R,R
RRLLRR,L,L,R,R,R
RRLRLL,L,L,R,R,R
RRLRLR,L,L,R,R,R
RRLRRL,L,L,R,R,R
RRRLLL,L,L,R,R,L
RRRLLR,L,L,R,R,R
RRRLRL,L,L,R,R,R
RRRRLL,L,L,R,R,L
