,0,1,2,3,4,5,6,7,8,9
LLLRRR,R,Tie,R,Tie,R,Tie,Tie,L,R,R
LLRRRR,R,Tie,R,Tie,R,Tie,Tie,R,R,R
LRLRRR,R,Tie,R,Tie,R,Tie,Tie,L,R,R
LRRLRR,R,Tie,R,Tie,R,Tie,Tie,L,R,R
LRRRLR,R,Tie,R,Tie,R,Tie,Tie,L,R,R
LRRRRL,R,Tie,R,Tie,R,Tie,Tie,L,R,R
RLRRRR,R,Tie,R,Tie,R,Tie,Tie,R,R,R
RRLRRR,R,Tie,R,Tie,R,Tie,Tie,R,R,R
RRRLRR,R,Tie,R,Tie,R,Tie,Tie,R,R,R
RRRRLR,R,Tie,R,Tie,R,Tie,Tie,R,R,R
RRRRRL,R,Tie,R,Tie,L,Tie,Tie,R,R,L
LRRRRR,R,Tie,R,Tie,R,Tie,Tie,R,R,R
RRRRRR,R,R,R,Tie,R,Tie,R,R,R,R
LLLLLL,L,L,L,Tie,L,Tie,L,L,L,L
LLLLLR,L,Tie,L,Tie,L,Tie,Tie,L,R,R
LLLLRL,L,Tie,L,Tie,L,Tie,Tie,L,R,R
LLLLRR,L,Tie,R,Tie,R,Tie,Tie,L,R,R
LLLRLL,L,Tie,L,Tie,L,Tie,Tie,L,L,R
LLLRLR,L,Tie,R,Tie,R,Tie,Tie,L,R,R
LLLRRL,L,Tie,R,Tie,R,Tie,Tie,L,R,R
LLRLLL,L,Tie,L,Tie,L,Tie,Tie,L,L,R
LLRLLR,L,Tie,R,Tie,R,Tie,Tie,L,L,R
LLRLRL,L,Tie,R,Tie,R,Tie,Tie,L,L,R
LLRLRR,L,Tie,R,Tie,R,Tie,Tie,L,R,R
LLRRLL,L,Tie,R,Tie,R,Tie,Tie,L,L,R
LLRRLR,L,Tie,R,Tie,R,Tie,Tie,L,R,R
LLRRRL,L,Tie,R,Tie,R,Tie,Tie,L,R,R
LRLLLL,L,Tie,L,Tie,L,Tie,Tie,L,L,L
LRLLLR,L,Tie,R,Tie,R,Tie,Tie,L,L,R
LRLLRL,L,Tie,R,Tie,R,Tie,Tie,L,L,R
LRLLRR,L,Tie,R,Tie,R,Tie,Tie,L,L,R
LRLRLL,L,Tie,R,Tie,R,Tie,Tie,L,L,R
LRLRLR,L,Tie,R,Tie,R,Tie,Tie,L,L,R
LRLRRL,L,Tie,R,Tie,R,Tie,Tie,L,L,R
LRRLLL,L,Tie,R,Tie,R,Tie,Tie,L,L,R
LRRLLR,L,Tie,R,Tie,R,Tie,Tie,L,L,R
LRRLRL,L,Tie,R,Tie,R,Tie,Tie,L,L,R
LRRRLL,L,Tie,R,Tie,R,Tie,Tie,L,L,R
RLLLLL,L,Tie,L,Tie,L,Tie,Tie,L,L,L
RLLLLR,L,Tie,R,Tie,R,Tie,Tie,L,L,R
RLLLRL,L,Tie,R,Tie,R,Tie,Tie,L,L,R
RLLLRR,L,Tie,R,Tie,R,Tie,Tie,L,L,R
RLLRLL,L,Tie,R,Tie,R,Tie,Tie,L,L,R
RLLRLR,L,Tie,R,Tie,R,Tie,Tie,L,L,R
RLLRRL,L,Tie,R,Tie,R,Tie,Tie,L,L,R
RLLRRR,L,Tie,R,Tie,R,Tie,Tie,L,L,R
RLRLLL,L,Tie,R,Tie,R,Tie,Tie,L,L,R
RLRLLR,L,Tie,R,Tie,R,Tie,Tie,L,L,R
RLRLRL,L,Tie,R,Tie,R,Tie,Tie,L,L,R
RLRLRR,L,Tie,R,Tie,R,Tie,Tie,L,L,R
RLRRLL,L,Tie,R,Tie,R,Tie,Tie,L,L,R
RLRRLR,L,Tie,R,Tie,R,Tie,Tie,L,L,R
RLRRRL,L,Tie,R,Tie,R,Tie,Tie,L,L,R
RRLLLL,L,Tie,R,Tie,L,Tie,Tie,L,L,L
RRLLLR,L,Tie,R,Tie,R,Tie,Tie,L,L,R
RRLLRL,L,Tie,R,Tie,R,Tie,Tie,L,L,R
RRLLRR,L,Tie,R,Tie,R,Tie,Tie,L,L,R
RRLRLL,L,Tie,R,Tie,R,Tie,Tie,L,L,R
RRLRLR,L,Tie,R,Tie,R,Tie,Tie,L,L,R
RRLRRL,L,Tie,R,Tie,R,Tie,Tie,L,L,R
RRRLLL,L,Tie,R,Tie,L,Tie,Tie,L,L,L
RRRLLR,L,Tie,R,Tie,R,Tie,Tie,L,L,R
RRRLRL,L,Tie,R,Tie,R,Tie,Tie,L,L,R
RRRRLL,L,Tie,R,Tie,L,Tie,Tie,L,L,L
